Platform Information: 

  CPU: Intel Pentium Gold G5500T (3.2G)
       HyperThread and HardwarePrefetch Disabled
  Mainboard: ASRock H370M-ITX/ac
  Memory: 2 * Corsair DDR4-2400 8G (1 rank, 16 banks)
  OS: Windows 7 x64 (7601)


Results of X86 version:

Real Time Clock Latency: 31
Cache miss: 229 (260 - 31)  Cache hit: 2 (33 - 31)
Instruction mul: 2 (33 - 31)
Instruction div: 20 (51 - 31)
Instruction float mul: 18 (49 - 31)
Instruction float div: 26 (57 - 31)
2 layer empty loops (8388608 * 1): 69519519 (69519550 - 31)
2 layer empty loops (4194304 * 2): 52962044 (52962075 - 31)
2 layer empty loops (2097152 * 4): 31470456 (31470487 - 31)
2 layer empty loops (1048576 * 8): 28094158 (28094189 - 31)
2 layer empty loops (524288 * 16): 33756467 (33756498 - 31)
2 layer empty loops (262144 * 32): 49987769 (49987800 - 31)
2 layer empty loops (131072 * 64): 42717397 (42717428 - 31)
2 layer empty loops (1M * 8): 28094677 (28094708 - 31)
2 layer empty loops (8 * 1M): 46667721 (46667752 - 31)
2 layer maccess loops (1M * 8): 207560819 (207560850 - 31)
2 layer maccess loops (8 * 1M): 251271881 (251271912 - 31)
3 layer empty loops (1M * 64 * 8): 492522159 (492522190 - 31)
3 layer empty loops (8 * 64 * 1M): 746476062 (746476093 - 31)
3 layer maccess loops (1M * 64 * 8): 1266664285 (1266664316 - 31)
3 layer maccess loops (8 * 64 * 1M): 4021486544 (4021486575 - 31)
round, BYTE, SHORT, LONG, LONGLONG
0, 250, 250, 260, 254
1, 31, 31, 31, 31
step, latency, clocks, rounds
8,       8.102295, 33187, 4096
16,      8.115723, 16621, 2048
32,      8.191406, 8388, 1024
64,      8.294922, 4247, 512
128,     19.898438, 5094, 256
256,     18.679688, 2391, 128
512,     19.671875, 1259, 64
cache line size: 64
step, latency, delta, rounds
1,       6.612305, 108336, 16384
2,       6.615356, 54193, 8192
4,       6.618408, 27109, 4096
8,       6.650879, 13621, 2048
16,      6.619141, 6778, 1024
32,      6.685547, 3423, 512
64,      6.578125, 1684, 256
128,     27.890625, 3570, 128
256,     31.484375, 2015, 64
512,     33.343750, 1067, 32
cache line size: 64

Measure cache hierarchy ...
1K,      3.857143, 54, 14
2K,      4.066667, 122, 30
4K,      3.564516, 221, 62
8K,      3.104839, 385, 124
16K,     3.148000, 787, 250
32K,     3.466000, 1733, 500
64K,     10.129741, 10150, 1002
128K,    10.148056, 20357, 2006
256K,    10.200797, 40946, 4014
512K,    34.159068, 274229, 8028
1024K,   34.190334, 548960, 16056
2048K,   34.194258, 1098046, 32112
4096K,   60.493507, 3885135, 64224
8192K,   149.981573, 19265133, 128450
16384K,  168.080580, 43179901, 256900
32768K,  172.219736, 88486845, 513802
65536K,  169.526374, 174205980, 1027604
step, latency, clocks, rounds
1K,      3.857143, 54, 16
2K,      4.066667, 122, 32
4K,      3.564516, 221, 64
8K,      3.055556, 385, 128
16K,     3.098425, 787, 256
32K,     3.398039, 1733, 512
64K,     9.931507, 10150, 1024
128K,    9.949658, 20357, 2048
256K,    10.001466, 40946, 4096
512K,    33.483394, 274229, 8192
1024K,   33.509950, 548960, 16384
2048K,   33.511750, 1098046, 32768
