Real Time Clock Latency: 27
Cache miss: 6 (33 - 27)  Cache hit: 0 (27 - 27)
Instruction mul: 3 (30 - 27)
Instruction div: 9 (36 - 27)
Instruction float mul: 12 (39 - 27)
Instruction float div: 21 (48 - 27)
2 layer empty loops (8388608 * 1): 49580814 (49580841 - 27)
2 layer empty loops (4194304 * 2): 29797443 (29797470 - 27)
2 layer empty loops (2097152 * 4): 26246457 (26246484 - 27)
2 layer empty loops (1048576 * 8): 26641935 (26641962 - 27)
2 layer empty loops (524288 * 16): 30044571 (30044598 - 27)
2 layer empty loops (262144 * 32): 49739703 (49739730 - 27)
2 layer empty loops (131072 * 64): 48790404 (48790431 - 27)
2 layer empty loops (1M * 8): 26756205 (26756232 - 27)
2 layer empty loops (8 * 1M): 42008811 (42008838 - 27)
2 layer maccess loops (1M * 8): 247602639 (247602666 - 27)
2 layer maccess loops (8 * 1M): 177170256 (177170283 - 27)
3 layer empty loops (1M * 64 * 8): 460527852 (460527879 - 27)
3 layer empty loops (8 * 64 * 1M): 692181321 (692181348 - 27)
3 layer maccess loops (1M * 64 * 8): 1142919339 (1142919366 - 27)
3 layer maccess loops (8 * 64 * 1M): 2807142510 (2807142537 - 27)
round, BYTE, SHORT, LONG, LONGLONG
0, 189, 195, 192, 198
1, 30, 30, 30, 30
step, latency, clocks, rounds
8,       11.842529, 48507, 4096
16,      11.852051, 24273, 2048
32,      11.865234, 12150, 1024
64,      11.912109, 6099, 512
128,     18.996094, 4863, 256
256,     18.421875, 2358, 128
512,     18.234375, 1167, 64
cache line size: 64
step, latency, delta, rounds
1,       6.510132, 106662, 16384
2,       6.506836, 53304, 8192
4,       6.514893, 26685, 4096
8,       6.499512, 13311, 2048
16,      6.524414, 6681, 1024
32,      6.609375, 3384, 512
64,      6.632813, 1698, 256
128,     25.664063, 3285, 128
256,     28.687500, 1836, 64
512,     31.031250, 993, 32
cache line size: 64

Measure cache hierarchy ...
1K,      3.428571, 48, 14
2K,      2.700000, 81, 30
4K,      3.000000, 186, 62
8K,      3.629032, 450, 124
16K,     3.120000, 780, 250
32K,     3.090000, 1545, 500
64K,     8.724551, 8742, 1002
128K,    8.724826, 17502, 2006
256K,    8.942451, 35895, 4014
512K,    21.103886, 169422, 8028
1024K,   21.103886, 338844, 16056
2048K,   21.494301, 690225, 32112
4096K,   128.750561, 8268876, 64224
8192K,   204.449545, 26261544, 128450
16384K,  206.005492, 52922811, 256900
32768K,  203.802321, 104714040, 513802
65536K,  206.537095, 212238345, 1027604
step, latency, clocks, rounds
1K,      3.428571, 48, 16
2K,      2.700000, 81, 32
4K,      3.000000, 186, 64
8K,      3.571429, 450, 128
16K,     3.070866, 780, 256
32K,     3.029412, 1545, 512
64K,     8.553816, 8742, 1024
128K,    8.554252, 17502, 2048
256K,    8.767709, 35895, 4096
512K,    20.686447, 169422, 8192
1024K,   20.683921, 338844, 16384
2048K,   21.065281, 690225, 32768
4096K,   126.176885, 8268876, 65536
8192K,   200.362737, 26261544, 131072
16384K,  201.886043, 52922811, 262144
32768K,  199.726943, 104714040, 524288
65536K,  202.406645, 212238345, 1048576

Measure L1 cache associative ways for window: 1024
step, latency, clocks, rounds
1,       3.375, 54, 16
2,       3.094, 99, 32
3,       3.063, 147, 48
4,       3.234, 207, 64
5,       3.188, 255, 80
6,       3.250, 312, 96
7,       3.295, 369, 112
8,       3.234, 414, 128
9,       3.250, 468, 144
10,      3.263, 522, 160
11,      3.273, 576, 176
12,      3.328, 639, 192
13,      3.303, 687, 208
14,      3.295, 738, 224
15,      3.313, 795, 240
16,      3.281, 840, 256
17,      3.331, 906, 272
18,      3.323, 957, 288
19,      3.306, 1005, 304
20,      3.431, 1098, 320
21,      3.455, 1161, 336
22,      3.426, 1206, 352
23,      3.440, 1266, 368
24,      3.430, 1317, 384
25,      3.442, 1377, 400
26,      3.425, 1425, 416
27,      3.431, 1482, 432
28,      3.422, 1533, 448
29,      3.530, 1638, 464
30,      3.513, 1686, 480
31,      3.526, 1749, 496
32,      3.516, 1800, 512
33,      5.045, 2664, 528
34,      6.557, 3567, 544
35,      8.073, 4521, 560
36,      9.224, 5313, 576
37,      9.248, 5475, 592
38,      9.217, 5604, 608
39,      9.255, 5775, 624
40,      9.248, 5919, 640
41,      9.252, 6069, 656
42,      9.228, 6201, 672
43,      9.257, 6369, 688
44,      9.243, 6507, 704
45,      9.250, 6660, 720
46,      9.249, 6807, 736
47,      9.247, 6954, 752
48,      9.242, 7098, 768
49,      9.245, 7248, 784
50,      9.240, 7392, 800
51,      9.243, 7542, 816
52,      9.249, 7695, 832
53,      9.255, 7848, 848
54,      9.250, 7992, 864
55,      9.256, 8145, 880
56,      9.392, 8415, 896
57,      9.250, 8436, 912
58,      9.246, 8580, 928
59,      9.248, 8730, 944
60,      9.241, 8871, 960
61,      9.227, 9006, 976
62,      9.236, 9162, 992
63,      9.241, 9315, 1008
64,      9.240, 9462, 1024

Measure L1 cache associative ways for window: 2048
step, latency, clocks, rounds
1,       3.188, 51, 16
2,       3.188, 102, 32
3,       3.063, 147, 48
4,       3.188, 204, 64
5,       3.188, 255, 80
6,       3.250, 312, 96
7,       3.268, 366, 112
8,       3.281, 420, 128
9,       3.292, 474, 144
10,      3.300, 528, 160
11,      3.290, 579, 176
12,      3.297, 633, 192
13,      3.332, 693, 208
14,      3.268, 732, 224
15,      3.513, 843, 240
16,      3.504, 897, 256
17,      6.452, 1755, 272
18,      9.167, 2640, 288
19,      9.217, 2802, 304
20,      9.206, 2946, 320
21,      9.232, 3102, 336
22,      9.230, 3249, 352
23,      9.603, 3534, 368
24,      9.227, 3543, 384
25,      9.225, 3690, 400
26,      9.231, 3840, 416
27,      9.222, 3984, 432
28,      9.241, 4140, 448
29,      9.239, 4287, 464
30,      9.225, 4428, 480
31,      9.236, 4581, 496
32,      9.246, 4734, 512
33,      9.233, 4875, 528
34,      9.243, 5028, 544
35,      9.236, 5172, 560
36,      9.641, 5553, 576
37,      9.233, 5466, 592
38,      9.232, 5613, 608
39,      9.250, 5772, 624
40,      9.248, 5919, 640
41,      9.247, 6066, 656
42,      9.250, 6216, 672
43,      9.235, 6354, 688
44,      9.239, 6504, 704
45,      9.250, 6660, 720
46,      9.249, 6807, 736
47,      9.235, 6945, 752
48,      9.238, 7095, 768
49,      9.245, 7248, 784
50,      9.251, 7401, 800
51,      9.243, 7542, 816
52,      9.245, 7692, 832
53,      9.244, 7839, 848
54,      9.253, 7995, 864
55,      9.252, 8142, 880
56,      9.244, 8283, 896
57,      9.247, 8433, 912
58,      9.239, 8574, 928
59,      9.251, 8733, 944
60,      9.247, 8877, 960
61,      9.252, 9030, 976
62,      9.248, 9174, 992
63,      9.253, 9327, 1008
64,      9.636, 9867, 1024

Measure L1 cache associative ways for window: 4096
step, latency, clocks, rounds
1,       3.375, 54, 16
2,       3.094, 99, 32
3,       3.063, 147, 48
4,       3.141, 201, 64
5,       3.263, 261, 80
6,       3.250, 312, 96
7,       3.295, 369, 112
8,       3.633, 465, 128
9,       8.813, 1269, 144
10,      9.169, 1467, 160
11,      9.222, 1623, 176
12,      9.188, 1764, 192
13,      9.216, 1917, 208
14,      9.576, 2145, 224
15,      9.200, 2208, 240
16,      9.199, 2355, 256
17,      9.585, 2607, 272
18,      9.208, 2652, 288
19,      9.217, 2802, 304
20,      9.206, 2946, 320
21,      9.232, 3102, 336
22,      9.222, 3246, 352
23,      9.236, 3399, 368
24,      9.227, 3543, 384
25,      9.607, 3843, 400
26,      9.231, 3840, 416
27,      9.243, 3993, 432
28,      9.234, 4137, 448
29,      9.233, 4284, 464
30,      9.225, 4428, 480
31,      9.236, 4581, 496
32,      9.240, 4731, 512
33,      9.244, 4881, 528
34,      9.248, 5031, 544
35,      9.632, 5394, 560
36,      9.641, 5553, 576
37,      8.767, 5190, 592
38,      8.388, 5100, 608
39,      8.385, 5232, 624
40,      8.395, 5373, 640
41,      8.771, 5754, 656
42,      8.759, 5886, 672
43,      8.394, 5775, 688
44,      8.399, 5913, 704
45,      8.758, 6306, 720
46,      8.393, 6177, 736
47,      8.398, 6315, 752
48,      8.398, 6450, 768
49,      8.403, 6588, 784
50,      8.396, 6717, 800
51,      8.408, 6861, 816
52,      8.401, 6990, 832
53,      8.774, 7440, 848
54,      8.611, 7440, 864
55,      8.400, 7392, 880
56,      8.411, 7536, 896
57,      8.618, 7860, 912
58,      8.593, 7974, 928
59,      8.422, 7950, 944
60,      8.656, 8310, 960
61,      8.619, 8412, 976
62,      8.422, 8355, 992
63,      8.521, 8589, 1008
64,      8.707, 8916, 1024

Measure L1 cache associative ways for window: 8192
step, latency, clocks, rounds
1,       3.000, 48, 16
2,       2.344, 75, 32
3,       3.188, 153, 48
4,       3.141, 201, 64
5,       3.263, 261, 80
6,       3.188, 306, 96
7,       3.241, 363, 112
8,       3.656, 468, 128
9,       9.167, 1320, 144
10,      9.169, 1467, 160
11,      9.170, 1614, 176
12,      9.188, 1764, 192
13,      9.216, 1917, 208
14,      9.214, 2064, 224
15,      9.200, 2208, 240
16,      9.211, 2358, 256
17,      9.585, 2607, 272
18,      9.208, 2652, 288
19,      9.602, 2919, 304
20,      9.609, 3075, 320
21,      9.232, 3102, 336
22,      8.736, 3075, 352
23,      8.364, 3078, 368
24,      8.742, 3357, 384
25,      8.752, 3501, 400
26,      8.365, 3480, 416
27,      8.743, 3777, 432
28,      8.371, 3750, 448
29,      8.386, 3891, 464
30,      9.269, 4449, 480
31,      9.266, 4596, 496
32,      9.656, 4944, 512
33,      9.574, 5055, 528
34,      10.059, 5472, 544
35,      10.811, 6054, 560
36,      11.677, 6726, 576
37,      12.299, 7281, 592
38,      12.770, 7764, 608
39,      13.380, 8349, 624
40,      14.105, 9027, 640
41,      16.838, 11046, 656
42,      19.094, 12831, 672
43,      23.333, 16053, 688
44,      25.653, 18060, 704
45,      24.279, 17481, 720
46,      24.192, 17805, 736
47,      24.311, 18282, 752
48,      24.262, 18633, 768
49,      24.318, 19065, 784
50,      24.371, 19497, 800
51,      24.408, 19917, 816
52,      24.447, 20340, 832
53,      24.485, 20763, 848
54,      24.528, 21192, 864
55,      24.563, 21615, 880
56,      24.606, 22047, 896
57,      24.641, 22473, 912
58,      24.682, 22905, 928
59,      24.709, 23325, 944
60,      24.738, 23748, 960
61,      26.647, 26007, 976
62,      24.744, 24546, 992
63,      24.827, 25026, 1008
64,      24.858, 25455, 1024

Measure L1 cache associative ways for window: 16384
step, latency, clocks, rounds
1,       3.188, 51, 16
2,       3.188, 102, 32
3,       2.563, 123, 48
4,       3.141, 201, 64
5,       3.188, 255, 80
6,       3.188, 306, 96
7,       3.268, 366, 112
8,       3.656, 468, 128
9,       9.500, 1368, 144
10,      9.206, 1473, 160
11,      9.188, 1617, 176
12,      9.234, 1773, 192
13,      9.216, 1917, 208
14,      9.201, 2061, 224
15,      9.213, 2211, 240
16,      9.586, 2454, 256
17,      10.952, 2979, 272
18,      12.500, 3600, 288
19,      13.855, 4212, 304
20,      15.113, 4836, 320
21,      19.259, 6471, 336
22,      24.281, 8547, 352
23,      26.242, 9657, 368
24,      26.344, 10116, 384
25,      24.495, 9798, 400
26,      24.642, 10251, 416
27,      24.722, 10680, 432
28,      24.783, 11103, 448
29,      24.873, 11541, 464
30,      24.925, 11964, 480
31,      24.974, 12387, 496
32,      25.031, 12816, 512
33,      25.074, 13239, 528
34,      25.075, 13641, 544
35,      25.179, 14100, 560
36,      25.167, 14496, 576
37,      25.145, 14886, 592
38,      25.298, 15381, 608
39,      25.240, 15750, 624
40,      25.369, 16236, 640
41,      25.303, 16599, 656
42,      25.353, 17037, 672
43,      25.378, 17460, 688
44,      25.411, 17889, 704
45,      25.417, 18300, 720
46,      25.467, 18744, 736
47,      25.476, 19158, 752
48,      25.512, 19593, 768
49,      25.531, 20016, 784
50,      25.560, 20448, 800
51,      25.581, 20874, 816
52,      25.597, 21297, 832
53,      25.613, 21720, 848
54,      25.639, 22152, 864
55,      25.653, 22575, 880
56,      25.667, 22998, 896
57,      25.694, 23433, 912
58,      25.707, 23856, 928
59,      25.719, 24279, 944
60,      25.734, 24705, 960
61,      25.755, 25137, 976
62,      25.766, 25560, 992
63,      25.786, 25992, 1008
64,      25.808, 26427, 1024

Measure L1 cache associative ways for window: 32768
step, latency, clocks, rounds
