Real Time Clock Latency: 27
Cache miss: 186 (213 - 27)  Cache hit: 6 (33 - 27)
Instruction mul: 6 (33 - 27)
Instruction div: 12 (39 - 27)
Instruction float mul: 18 (45 - 27)
Instruction float div: 27 (54 - 27)
2 layer empty loops (8388608 * 1): 49747992 (49748019 - 27)
2 layer empty loops (4194304 * 2): 29968926 (29968953 - 27)
2 layer empty loops (2097152 * 4): 26305458 (26305485 - 27)
2 layer empty loops (1048576 * 8): 26811285 (26811312 - 27)
2 layer empty loops (524288 * 16): 30047553 (30047580 - 27)
2 layer empty loops (262144 * 32): 49940469 (49940496 - 27)
2 layer empty loops (131072 * 64): 48731631 (48731658 - 27)
2 layer empty loops (1M * 8): 26661597 (26661624 - 27)
2 layer empty loops (8 * 1M): 41074119 (41074146 - 27)
2 layer maccess loops (1M * 8): 61264542 (61264569 - 27)
2 layer maccess loops (8 * 1M): 97182510 (97182537 - 27)
3 layer empty loops (1M * 64 * 8): 460473606 (460473633 - 27)
3 layer empty loops (8 * 64 * 1M): 690272451 (690272478 - 27)
3 layer maccess loops (1M * 64 * 8): 945598269 (945598296 - 27)
3 layer maccess loops (8 * 64 * 1M): 1556611188 (1556611215 - 27)
round, BYTE, SHORT, LONG, LONGLONG
0, 189, 192, 189, 192
1, 30, 30, 30, 30
step, latency, clocks, rounds
8,       11.841797, 48504, 4096
16,      11.850586, 24270, 2048
32,      11.871094, 12156, 1024
64,      11.912109, 6099, 512
128,     11.988281, 3069, 256
256,     14.531250, 1860, 128
512,     15.234375, 975, 64
step, latency, delta, rounds
1,       6.920288, 113382, 16384
2,       6.914063, 56640, 8192
4,       6.911133, 28308, 4096
8,       6.916992, 14166, 2048
16,      6.922852, 7089, 1024
32,      6.984375, 3576, 512
64,      6.960938, 1782, 256
128,     8.953125, 1146, 128
256,     27.937500, 1788, 64
512,     28.593750, 915, 32
cache line size: 128

Measure cache hierarchy ...
1K,      3.000000, 42, 14
2K,      2.300000, 69, 30
4K,      3.193548, 198, 62
8K,      3.290323, 408, 124
16K,     3.324000, 831, 250
32K,     3.678000, 1839, 500
64K,     8.847305, 8865, 1002
128K,    9.001496, 18057, 2006
256K,    8.942451, 35895, 4014
512K,    8.744395, 70200, 8028
1024K,   8.746263, 140430, 16056
2048K,   8.747384, 280896, 32112
4096K,   13.417881, 861750, 64224
8192K,   16.579595, 2129649, 128450
16384K,  15.469303, 3974064, 256900
32768K,  15.495477, 7961607, 513802
65536K,  15.455907, 15882552, 1027604
step, latency, clocks, rounds
1K,      3.000000, 42, 16
2K,      2.300000, 69, 32
4K,      3.193548, 198, 64
8K,      3.238095, 408, 128
16K,     3.271654, 831, 256
32K,     3.605882, 1839, 512
64K,     8.674168, 8865, 1024
128K,    8.825513, 18057, 2048
256K,    8.767709, 35895, 4096
512K,    8.571429, 70200, 8192
1024K,   8.572213, 140430, 16384
2048K,   8.572789, 280896, 32768
4096K,   13.149663, 861750, 65536
8192K,   16.248180, 2129649, 131072
16384K,  15.159967, 3974064, 262144
32768K,  15.185618, 7961607, 524288
65536K,  15.146811, 15882552, 1048576

Measure L1 cache associative ways for window: 1024
step, latency, clocks, rounds
1,       2.813, 45, 16
2,       3.000, 96, 32
3,       3.188, 153, 48
4,       3.234, 207, 64
5,       3.263, 261, 80
6,       3.313, 318, 96
